序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
139,FAR AND AWAY,大地雄心,剧情,环绕声，多声道,2:13:54,1992,美国,5555,2980,None,4108,http://movie.douban.com/subject/1292701/,1992,Far and Away,938,7.7,43,大地雄心
140,IN GOOD COMPANY,大公司小老板,剧情,立体声,1:44:59,2004,美国,4641,3522,None,3487,http://movie.douban.com/subject/1389918/,2004,In Good Company,936,6.6,41,大公司小老板
141,"LIAR, LIAR",大话王,奇幻,环绕声，多声道,1:22:41,1997,美国,47858,4573,None,34814,http://movie.douban.com/subject/1295318/,1997,Liar Liar,3662,7.4,40,大话王
142,"LIFE OF DAVID GALE, THE",大卫·戈尔的一生,剧情,立体声,2:02:53,2003,美国,39185,28791,None,32336,http://movie.douban.com/subject/1305725/,2003,The Life of David Gale,10698,8.6,242,大卫·戈尔的一生
143,BIG FISH,大鱼,奇幻,立体声,2:02:05,2003,美国,208861,63612,None,158253,http://movie.douban.com/subject/1291545/,2003,Big Fish,35187,8.7,998,大鱼
144,Sherlock Holmes,大侦探福尔摩斯,悬疑,,2:00:00,2009,美国,196139,22754,None,159346,http://movie.douban.com/subject/2998270/,2009,Sherlock Holmes,41368,7.3,723,大侦探福尔摩斯
145,Sherlock Holmes: A Game of Shadows,大侦探福尔摩斯2：诡影游戏,悬疑,环绕声，多声道,2:02:31,2011,美国,144202,25626,None,117982,http://movie.douban.com/subject/4051753/,2011,Sherlock Holmes: A Game of Shadows,48282,7.3,444,大侦探福尔摩斯2：诡影游戏
146,The Waterboy,呆呆向前冲,运动,,2:00:00,1998,美国,1808,411,None,1395,http://movie.douban.com/subject/1296891/,1998,The Waterboy,229,6.5,5,呆呆向前冲
147,BABY MAMA,代孕妈妈,喜剧,环绕声，多声道,1:34:48,2008,美国,3273,800,None,2514,http://movie.douban.com/subject/2364979/,2008,Baby Mama,422,6,13,代孕妈妈
148,DAMSELS IN DISTRESS,待解救的少女,剧情,立体声,1:34:49,2011,美国,448,723,None,340,http://movie.douban.com/subject/5342818/,2011,Damsels in Distress,175,6.2,2,待解救的少女
149,he got game,单挑,剧情,立体声,2:04:46,1998,美国,3156,1353,None,2548,http://movie.douban.com/subject/1300880/,1998,He Got Game,702,7.5,11,单挑
150,When a Man Loves a Woman,当男人爱上女人,剧情,,2:00:00,1994,美国,6677,5796,None,4668,http://movie.douban.com/subject/1293164/,1994,When a Man Loves a Woman,1066,7.6,51,当男人爱上女人
151,"PURSUIT OF HAPPYNESS, THE (2006)",当幸福来敲门,剧情,环绕声，多声道,1:56:59,2006,美国,468699,35742,None,338899,http://movie.douban.com/subject/1849031/,2006,The Pursuit of Happyness,68628,8.8,2136,当幸福来敲门
152,Inception,盗梦空间,悬疑,,2:00:00,2010,美国,638888,62844,None,492968,http://movie.douban.com/subject/3541415/,2010,Inception,144462,9.2,4461,盗梦空间
153,STRAW DOGS,稻草狗,惊悚,环绕声，多声道,1:44:20,1971,美国,6873,4944,None,5093,http://movie.douban.com/subject/1293028/,1971,Straw Dogs,1233,7.7,48,稻草狗
154,The Good German,德国好人,惊悚,,2:00:00,2006,美国,1679,1149,None,1167,http://movie.douban.com/subject/1482091/,2006,The Good German,214,6.5,15,德国好人
155,MR. DEEDS,迪兹先生,喜剧,立体声,1:35:50,1936,美国,560,744,None,431,http://movie.douban.com/subject/1298345/,1936,Mr. Deeds Goes to Town,138,8,2,迪兹先生进城
156,GABRIEL,涤罪天使,动作,立体声,1:52:28,2007,美国,929,503,None,731,http://movie.douban.com/subject/2212190/,2007,Gabriel,186,5.2,17,涤罪天使
157,TAKING OF PELHAM 123．THE (2009),地铁惊魂,罪案,立体声,1:41:50,2009,美国,29640,2724,None,23704,http://movie.douban.com/subject/2974273/,2009,The Taking of Pelham 1 2 3,5043,6.5,149,地铁惊魂
158,FIGHTING,地下拳击场,动作,环绕声，多声道,1:42:45,2009,美国,2541,593,None,1991,http://movie.douban.com/subject/2269032/,2009,Fighting,486,5.8,17,地下拳击场
159,Journey to the Center of the Earth,地心历险记,科幻,,2:00:00,2008,美国,41864,3403,None,32019,http://movie.douban.com/subject/2037833/,2008,Journey to the Center of the Earth,5533,6.4,137,地心历险记
160,Journey 2: The Mysterious Island,地心历险记2：神秘岛,奇幻,环绕声，多声道,1:34:00,2012,美国,52675,6472,None,42698,http://movie.douban.com/subject/3606973/,2012,Journey 2: The Mysterious Island,17801,6.2,228,地心历险记2：神秘岛
161,The Core,地心抢险记,冒险,,2:00:00,2003,英国/美国,17277,1333,None,12747,http://movie.douban.com/subject/1300092/,2003,The Core,1662,6.4,31,地心抢险记
162,HELLBOY,地狱男孩,科幻,环绕声，多声道,1:58:49,2004,美国,44821,2903,None,33003,http://movie.douban.com/subject/1308851/,2004,Hellboy,3386,6.8,50,地狱男爵
163,25th Hour,第25小时,罪案,,2:00:00,2002,美国,11673,9147,None,9196,http://movie.douban.com/subject/1292280/,2002,25th Hour,2278,8,74,第25小时
164,Son of Rambow,第二滴血,喜剧,,2:00:00,2007,英法德,5260,2837,None,4093,http://movie.douban.com/subject/1951163/,2007,Son of Rambow,865,7.7,47,第二滴血
165,SESSION 9,第九部分,悬疑,立体声,1:39:51,2001,美国,2821,6673,None,2116,http://movie.douban.com/subject/1308704/,2001,Session 9,618,6.9,24,9号谋杀案
166,District 9,第九区,科幻,环绕声，多声道,1:52:08,2009,美国,208587,31283,None,163793,http://movie.douban.com/subject/3006772/,2009,District 9,38034,8.2,1165,第九区
167,MEET JOE BLACK,第六感生死恋,剧情,环绕声，多声道,2:52:50,1998,美国,44167,14561,None,32529,http://movie.douban.com/subject/1299769/,1998,Meet Joe Black,7278,7.6,238,第六感生死缘
168,The 6th Day,第六日,科幻,立体声,1:53:40,2000,美国,27596,1090,None,20012,http://movie.douban.com/subject/1294893/,2000,The 6th Day,1638,6.6,25,第六日
169,19TH WIFE,第十九个妻子,剧情,立体声,1:25:47,2007,美国,9943,407,None,7190,http://movie.douban.com/subject/2124737/,2007,第十九层空间,1267,3.8,51,第十九层空间
170,The 13th Warrior,第十三个勇士,冒险,,2:00:00,1999,美国,1579,857,None,1229,http://movie.douban.com/subject/1294888/,1999,The 13th Warrior,253,6.6,14,第十三个勇士
171,GUARDING TESS,第一夫人的保镖,喜剧,立体声,1:31:36,1994,美国,2930,694,None,2027,http://movie.douban.com/subject/1293447/,1994,Guarding Tess,287,6.6,9,第一夫人的保镖
172,MONEYBALL,点球成金,剧情,环绕声，多声道,2:03:22,2011,美国,52767,20847,None,44108,http://movie.douban.com/subject/3023164/,2011,Moneyball,17397,8.1,289,点球成金
173,DEVIL,电梯里的恶魔,惊悚,环绕声，多声道,1:16:40,2010,美国,29756,4141,None,23856,http://movie.douban.com/subject/3268171/,2010,Devil,7268,6.2,130,电梯里的恶魔
174,ARENA,电玩竞技场,科幻,环绕声，多声道,1:28:30,2011,美国,1081,87,None,894,http://movie.douban.com/subject/2364038/,2011,Arena,334,5.2,7,竞技场
175,The Recruit,谍海计中计,惊悚,,2:00:00,2003,美国,17208,1972,None,12878,http://movie.douban.com/subject/1300292/,2003,The Recruit,1683,6.9,33,谍海计中计
176,"BOURNE IDENTITY, THE",谍影重重1,动作,环绕声，多声道,1:49:01,2002,美国,148668,10919,None,110275,http://movie.douban.com/subject/1304102/,2002,The Bourne Identity,16402,8.3,163,谍影重重
177,The Bourne Supremacy,谍影重重2,动作,环绕声，多声道,1:43:46,2004,美国,123785,6870,None,91674,http://movie.douban.com/subject/1308767/,2004,The Bourne Supremacy,11159,8.3,98,谍影重重2
178,"Bourne Ultimatum, The",谍影重重3,动作,环绕声，多声道,1:50:26,2007,美国,146158,12176,None,107241,http://movie.douban.com/subject/1578507/,2007,The Bourne Ultimatum,16679,8.6,304,谍影重重3
179,"BOURNE LEGACY, THE",谍影重重4,动作,立体声,2:03:08,2012,美国,91470,21839,None,75200,http://movie.douban.com/subject/3001077/,2012,The Bourne Legacy,33153,6.7,521,谍影重重4
180,Mission: Impossible,碟中谍,动作,,2:00:00,2011,美国,237166,20436,None,194193,http://movie.douban.com/subject/3068206/,2011,Mission: Impossible - Ghost Protocol,76853,8.1,763,碟中谍4
181,Mission: Impossible II,碟中谍2,动作,,2:00:00,2000,美国,80546,2228,None,57845,http://movie.douban.com/subject/1298525/,2000,Mission: Impossible II,7728,6.8,53,碟中谍2
182,Mission: Impossible III,碟中谍3,动作,,2:00:00,2006,美国,87041,3050,None,62611,http://movie.douban.com/subject/1401533/,2006,Mission: Impossible III,8181,6.9,138,碟中谍3
183,Mission: Impossible Ghost Protocol,碟中谍4,动作,,2:00:00,2011,美国,237166,20436,None,194193,http://movie.douban.com/subject/3068206/,2011,Mission: Impossible - Ghost Protocol,76853,8.1,763,碟中谍4
184,The Adventures of Tintin: The Secret of the Unicorn,丁丁历险记,动画,,2:00:00,2011,美国,92922,25023,None,76465,http://movie.douban.com/subject/2028669/,2011,The Adventures of Tintin: The Secret of the Unicorn,29704,7.6,352,丁丁历险记
185,East Wind Rain,东风雨,剧情,立体声,1:57:25,2010,中国大陆,20467,1696,None,16266,http://movie.douban.com/subject/3562446/,2010,东风雨,8388,5.2,274,东风雨
186,"SOLOIST, THE",独奏者,剧情,环绕声，多声道,1:55:01,2009,美国,10400,6063,None,8118,http://movie.douban.com/subject/2367243/,2009,The Soloist,1892,6.8,81,独奏者
187,Go Lala Go!,杜拉拉升职记,爱情,立体声,1:45:16,2010,中国大陆,195420,10041,None,152671,http://movie.douban.com/subject/3820191/,2010,杜拉拉升职记,46550,5.4,1816,杜拉拉升职记
188,Duma,杜玛,家庭,,2:00:00,2005,美国,3524,2848,None,2799,http://movie.douban.com/subject/1309109/,2005,Duma,704,8,25,杜玛
189,Gifted Hands: The Ben Carson Story,恩赐妙手,剧情,立体声,1:29:56,2009,美国,1237,699,None,984,http://movie.douban.com/subject/3532670/,2009,Gifted Hands: The Ben Carson Story,355,8,11,恩赐妙手：班·卡森医师
190,While You Were Sleeping,二见钟情,爱情,,2:00:00,1995,美国,14337,12106,None,10865,http://movie.douban.com/subject/1295899/,1995,While You Were Sleeping,2936,7.5,48,二见钟情
191,"OTHER GUYS, THE",二流警探,动作,立体声,1:43:23,2010,美国,9351,1822,None,7699,http://movie.douban.com/subject/3569915/,2010,The Other Guys,2244,5.8,29,二流警探
192,28 DAYS,二十八天,剧情,立体声,1:36:39,,美国,65,16,2,39,http://movie.douban.com/subject/3608992/,,田教授家的二十八个亲威,5,5.5,0,田教授家的二十八个亲威
193,Hairspray,发胶明星梦,歌舞,,2:00:00,2007,美国,16532,3935,None,12739,http://movie.douban.com/subject/1946867/,2007,Hairspray,2963,7.2,60,发胶
194,"INTERPRETER, THE",翻译风波,剧情,环绕声，多声道,2:03:02,2005,美国,17094,1985,None,12597,http://movie.douban.com/subject/1291823/,2005,The Interpreter,2082,6.4,50,翻译风波
195,DOUBLE TEAM,反击王,动作,立体声,1:27:42,1997,美国,1018,197,None,751,http://movie.douban.com/subject/1294719/,1997,Double Team,154,6.1,0,双重火力
196,S.W.A.T. (2003),反恐特警组,动作,立体声,1:57:06,2003,美国,14465,1171,None,10862,http://movie.douban.com/subject/1307384/,2003,S.W.A.T.,1316,6.5,19,反恐特警组
197,S.W.A.T.: FIREFIGHT,反恐特警组：火速救援,动作,立体声,1:28:33,2011,美国,3504,236,None,2870,http://movie.douban.com/subject/5154463/,2011,S.W.A.T.: Fire Fight,873,5.3,9,反恐特警组：火速救援
198,Rendition,反恐疑云,剧情,,2:00:00,2007,美国/南非,5185,2046,None,4076,http://movie.douban.com/subject/2039711/,2007,Rendition,654,7,47,反恐疑云
199,VAN HELSING,范海辛,惊悚,环绕声，多声道,2:06:03,2004,美国,61682,4810,None,46142,http://movie.douban.com/subject/1309136/,2004,Van Helsing,6476,6.9,96,范海辛
200,Where the Heart Is,芳心何处,喜剧,,2:00:00,2000,美国,1151,1871,None,872,http://movie.douban.com/subject/1297481/,2000,Where the Heart Is,201,7.5,7,芳心何处
201,Firewall,防火墙,罪案,立体声,1:40:24,2006,美国,6939,337,None,5083,http://movie.douban.com/subject/1474762/,2006,Firewall,693,5.8,43,防火墙
202,RV,房车之旅,喜剧,立体声,1:34:28,2006,美国,6436,1994,None,5019,http://movie.douban.com/subject/1588704/,2006,RV,1054,7,30,房车之旅
203,ONE NIGHT AT MCCOOL'S,放电无罪,喜剧,环绕声，多声道,1:28:53,2001,美国,1042,805,None,754,http://movie.douban.com/subject/1305072/,2001,One Night at McCool's,185,7,9,放电无罪
204,Flubber,飞天法宝,奇幻,,2:00:00,1997,美国,3675,386,None,2707,http://movie.douban.com/subject/1295903/,1997,Flubber,339,6.8,1,飞天法宝
205,DEATH BECOMES HER,飞越长生,奇幻,环绕声，多声道,1:39:00,1992,美国,1917,1223,None,1421,http://movie.douban.com/subject/1299556/,1992,Death Becomes Her,409,7.6,5,飞越长生
206,The Usual Suspects,非常嫌疑犯,罪案,,2:00:00,1995,美国/德国,83971,33942,None,66047,http://movie.douban.com/subject/1292214/,1995,The Usual Suspects,16182,8.5,226,非常嫌疑犯
207,Spy Kids,非常小特务,动作,,2:00:00,2001,美国,11556,454,None,8076,http://movie.douban.com/subject/1302344/,2001,Spy Kids,789,6,3,非常小特务
208,Spy Kids 3-D: Game Over,非常小特务3,奇幻,,2:00:00,2003,美国,4014,256,None,2906,http://movie.douban.com/subject/1308585/,2003,Spy Kids 3-D: Game Over,329,5.5,3,非常小特务3
209,ILLEGAL TENDER,非法招标,罪案,立体声,1:42:19,2007,美国,128,19,None,84,http://movie.douban.com/subject/2157418/,2007,Illegal Tender,15,5.3,2,非法招标
210,STEP BROTHERS,非亲兄弟,喜剧,立体声,1:33:57,2008,美国,2572,504,None,2079,http://movie.douban.com/subject/1916089/,2008,Step Brothers,404,5.8,11,非亲兄弟
211,EASY A,绯闻计划,喜剧,立体声,1:31:25,2010,美国,36384,7455,None,28362,http://movie.douban.com/subject/3213173/,2010,Easy A,7963,6.5,79,绯闻计划
212,NUTTY PROFESSOR II: THE KLUMPS,肥佬教授2,喜剧,环绕声，多声道,1:39:51,2000,美国,1498,163,None,1026,http://movie.douban.com/subject/1301787/,2000,Nutty Professor II: The Klumps,66,5.6,0,肥佬教授2
213,Gangster Squad,匪帮传奇,动作,环绕声，多声道,1:52:50,2013,美国,11288,5122,None,9488,http://movie.douban.com/subject/3282396/,2013,Gangster Squad,3879,6.5,33,匪帮传奇
214,PHILADELPHIA,费城故事,爱情,立体声,2:05:22,1993,美国,57742,26375,None,42242,http://movie.douban.com/subject/1293145/,1993,Philadelphia,8189,8.5,237,费城故事
215,"BREAK-UP, THE",分手男女,喜剧,环绕声，多声道,1:41:50,2006,美国,18129,3907,None,12700,http://movie.douban.com/subject/1457191/,2006,The Break-Up,2524,6.3,120,分手男女
216,ANGER MANAGEMENT,愤怒管理,喜剧,立体声,1:38:11,2012,美国,1132,524,278,1047,http://movie.douban.com/subject/6729347/,2012,Anger Management,386,6.5,14,愤怒管理 第一季
217,Silver Medalist,疯狂的赛车,喜剧,立体声,1:45:00,2009,中国大陆,167580,7264,None,130084,http://movie.douban.com/subject/2124703/,2009,疯狂的赛车,18164,7.8,798,疯狂的赛车
218,Barnyard,疯狂农庄,动画,,2:00:00,2006,美国/德国,13808,1689,None,9928,http://movie.douban.com/subject/1428068/,2006,Barnyard,1296,6.8,24,疯狂农庄
219,Fun Size,疯狂万圣夜,喜剧,,2:00:00,2012,美国,205,142,None,168,http://movie.douban.com/subject/6538868/,2012,Fun Size,69,4.7,0,疯狂万圣夜
220,"Crazy, Stupid, Love",疯狂愚蠢的爱,喜剧,环绕声，多声道,1:53:43,2011,美国,46787,19744,None,37521,http://movie.douban.com/subject/4215790/,2011,"Crazy, Stupid, Love",14373,7.2,115,疯狂愚蠢的爱
221,The Quick and the Dead,凤舞狂沙,剧情,立体声,1:37:50,1995,美国,2690,895,None,2031,http://movie.douban.com/subject/1295773/,1995,The Quick and the Dead,583,6.4,7,致命快感
222,FROST/NIXON,福斯特对话尼克松,传记,环绕声，多声道,1:56:36,2008,美国,12295,8623,None,9943,http://movie.douban.com/subject/2062678/,2008,Frost/Nixon,1825,8,126,对话尼克松
223,Flags of Our Fathers,父辈的旗帜,历史,,2:00:00,2006,美国,21622,5936,None,16233,http://movie.douban.com/subject/1478066/,2006,Flags of Our Fathers,2379,7.3,142,父辈的旗帜
224,The Avengers,复仇者联盟,科幻,,2:00:00,2012,美国,242684,25386,None,200971,http://movie.douban.com/subject/1866479/,2012,The Avengers,84888,8,914,复仇者联盟
225,The Damned United,该死的联队,剧情,环绕声，多声道,1:37:24,2009,英国,3350,1806,None,2846,http://movie.douban.com/subject/3069368/,2009,The Damned United,953,7.8,25,魔鬼联队
226,"KINGDOM, THE ('07)",改朝换代,剧情,立体声,1:45:35,2007,美国,6142,1224,None,4876,http://movie.douban.com/subject/1929436/,2007,The Kingdom,945,6.9,59,改朝换代
227,Iron Man,钢铁侠,科幻,,2:00:00,2013,美国,166968,21893,None,141856,http://movie.douban.com/subject/3231742/,2013,Iron Man 3,62481,7.5,683,钢铁侠3
228,Iron Man 2,钢铁侠2,科幻,,2:00:00,2010,美国,129696,11962,None,102194,http://movie.douban.com/subject/3066739/,2010,Iron Man 2,25742,6.7,411,钢铁侠2
229,Tower Heist,高楼大劫案,罪案,环绕声，多声道,1:39:50,2011,美国,17745,2210,None,14605,http://movie.douban.com/subject/2133293/,2011,Tower Heist,4518,6.7,39,高楼大劫案
230,The Informant!,告密者,剧情,,2:00:00,2009,德国,8619,5233,None,6906,http://movie.douban.com/subject/2348020/,2009,The Informant!,1994,6.9,53,告密者
231,GODZILLA (1998),哥斯拉,科幻,立体声,2:10:45,1998,美国,44273,1824,None,32311,http://movie.douban.com/subject/1295292/,1998,Godzilla,3156,6.8,36,哥斯拉
232,The Phantom of the Opera,歌剧魅影,剧情,立体声,2:15:10,2004,美国,122384,28902,None,88548,http://movie.douban.com/subject/1291554/,2004,The Phantom of the Opera,15429,8.3,342,歌剧魅影
233,High School Musical 3: Senior Year,歌舞青春3,歌舞,,2:00:00,2008,美国,55079,3908,None,40489,http://movie.douban.com/subject/2215609/,2008,High School Musical 3: Senior Year,4662,7,88,歌舞青春3：毕业季
234,Revolutionary Road,革命之路,爱情,,2:00:00,2008,美国/英国,101697,34999,None,78852,http://movie.douban.com/subject/2037012/,2008,Revolutionary Road,19549,7.9,1904,革命之路
235,Moral Kombat,格斗之王 (Cinetic),动作,,2:00:00,2009,中美日,,,,,,2009,,,,,
236,QUARANTINE,隔离区,恐怖,环绕声，多声道,1:29:10,2008,美国,4083,729,None,3143,http://movie.douban.com/subject/2373638/,2008,Quarantine,773,6.2,32,隔离区
237,QUARANTINE 2: TERMINAL,隔离区2:终端,恐怖,立体声,1:25:06,2011,美国,2228,319,None,1735,http://movie.douban.com/subject/6519403/,2011,Quarantine 2: Terminal,521,5.7,10,隔离区2：终点站
238,HIGHER GROUND,更高境界,剧情,立体声,1:46:41,2011,美国,444,680,None,350,http://movie.douban.com/subject/4191674/,2011,Higher Ground,147,6,8,更高境界
239,PUBLIC ENEMIES,公众之敌,罪案,环绕声，多声道,2:13:50,2009,美国,55821,22311,None,43965,http://movie.douban.com/subject/2369549/,2009,Public Enemies,10768,7.3,243,公众之敌
240,The Princess Diaries,公主日记,喜剧,,2:00:00,2001,美国,196936,8365,None,136485,http://movie.douban.com/subject/1305065/,2001,The Princess Diaries,15047,7.3,107,公主日记
241,The Princess Diaries 2: Royal Engag,公主日记2,喜剧,,2:00:00,2004,美国,116825,4410,None,78894,http://movie.douban.com/subject/1308753/,2004,The Princess Diaries 2: Royal Engagement,7051,6.7,44,公主日记2
242,KUNG FU HUSTLE,功夫,喜剧,立体声,1:34:30,2011,美国,250868,29867,None,199155,http://movie.douban.com/subject/3233635/,2011,Kung Fu Panda 2,66652,8.1,1133,功夫熊猫2
243,The Karate Kid,功夫梦,动作,立体声,2:12:39,2010,中国大陆,64792,5392,None,50945,http://movie.douban.com/subject/3074503/,2010,The Karate Kid,12603,6.2,349,功夫梦
