序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
324,The Apparition,幻影,惊悚,环绕声，多声道,1:33:22,2012,美国
325,LAST ACTION HERO,幻影英雄,动作,环绕声，多声道,2:10:43,1993,美国
326,CHANGELING ('08),换子疑云,悬疑,环绕声，多声道,2:15:17,2008,美国
327,The Golden Compass,黄金罗盘,奇幻,,2:00:00,2007,美国
328,The Invention of Lying,慌言的诞生,喜剧,环绕声，多声道,1:35:37,2009,美国
329,Body of Lies,慌言之躯,动作,,2:00:00,2008,美国
330,A Cinderella Story: Once Upon a Song,灰姑娘的故事3,爱情,环绕声，多声道,1:28:09,2011,美国
331,Another Cinderella Story,灰姑娘之舞动奇迹,歌舞,,2:00:00,2008,美国/加拿大
332,BACK TO THE FUTURE,回到未来,科幻,立体声,1:51:13,1985,美国
333,BACK TO THE FUTURE II,回到未来2,科幻,立体声,1:43:34,1989,美国
334,BACK TO THE FUTURE III,回到未来3,科幻,立体声,1:53:24,1990,美国
335,"RETURN, THE",回魂,恐怖,环绕声，多声道,1:15:43,2006,美国
336,DOOM,毁灭战士,科幻,立体声,1:38:28,2005,美国
337,JUMPING THE BROOM,婚礼大斗阵,喜剧,立体声,1:51:28,2011,美国
